# code|name|province|latitude|longitude|official_name|content_status
2305|双鸭山|黑龙江省|46.6434|131.1573|双鸭山市|lookup
2306|大庆|黑龙江省|46.5907|125.1127|大庆市|lookup
2307|伊春|黑龙江省|47.7269|128.8993|伊春市|lookup
2308|佳木斯|黑龙江省|46.8096|130.3616|佳木斯市|lookup
2309|七台河|黑龙江省|45.7713|131.0156|七台河市|lookup
2310|牡丹江|黑龙江省|44.5830|129.6186|牡丹江市|lookup
2311|黑河|黑龙江省|50.2496|127.4990|黑河市|lookup
2312|绥化|黑龙江省|46.6374|126.9929|绥化市|lookup
2327|大兴安岭地区|黑龙江省|50.4113|124.1179|大兴安岭地区|lookup
3101|上海|上海市|31.2317|121.4726|上海市|curated
3201|南京|江苏省|32.0415|118.7674|南京市|lookup
3202|无锡|江苏省|31.4911|120.3119|无锡市|lookup
3203|徐州|江苏省|34.2042|117.2838|徐州市|lookup
3204|常州|江苏省|31.7728|119.9470|常州市|lookup
3205|苏州|江苏省|31.2994|120.6196|苏州市|lookup
3206|南通|江苏省|32.0162|120.8646|南通市|lookup
3207|连云港|江苏省|34.6000|119.1788|连云港市|lookup
3208|淮安|江苏省|33.5515|119.1132|淮安市|lookup
3209|盐城|江苏省|33.3776|120.1400|盐城市|lookup
3210|扬州|江苏省|32.3932|119.4210|扬州市|lookup
3211|镇江|江苏省|32.2044|119.4528|镇江市|lookup
3212|泰州|江苏省|32.4849|119.9152|泰州市|lookup
3213|宿迁|江苏省|33.9630|118.2752|宿迁市|lookup
3301|杭州|浙江省|30.2460|120.2108|杭州市|curated
3302|宁波|浙江省|29.8603|121.6245|宁波市|lookup
3303|温州|浙江省|28.0006|120.6721|温州市|lookup
3304|嘉兴|浙江省|30.7627|120.7509|嘉兴市|lookup
3305|湖州|浙江省|30.8672|120.1024|湖州市|lookup
3306|绍兴|浙江省|30.0516|120.5829|绍兴市|lookup
3307|金华|浙江省|29.0895|119.6495|金华市|lookup
3308|衢州|浙江省|28.9417|118.8726|衢州市|lookup
3309|舟山|浙江省|29.9856|122.2074|舟山市|lookup
3310|台州|浙江省|28.6614|121.4286|台州市|lookup
3311|丽水|浙江省|28.4520|119.9218|丽水市|lookup
3401|合肥|安徽省|31.8206|117.2273|合肥市|lookup
3402|芜湖|安徽省|31.3526|118.4331|芜湖市|lookup
3403|蚌埠|安徽省|32.9397|117.3632|蚌埠市|lookup
3404|淮南|安徽省|32.5854|117.0186|淮南市|lookup
3405|马鞍山|安徽省|31.6894|118.5079|马鞍山市|lookup
3406|淮北|安徽省|33.9717|116.7947|淮北市|lookup
3407|铜陵|安徽省|30.9299|117.8166|铜陵市|lookup
3408|安庆|安徽省|30.5318|117.1154|安庆市|lookup
3410|黄山|安徽省|29.7092|118.3173|黄山市|lookup
3411|滁州|安徽省|32.2559|118.3334|滁州市|lookup
3412|阜阳|安徽省|32.8970|115.8197|阜阳市|lookup
3413|宿州|安徽省|33.6339|116.9841|宿州市|lookup
3415|六安|安徽省|31.7529|116.5077|六安市|lookup
3416|亳州|安徽省|33.8693|115.7829|亳州市|lookup
3417|池州|安徽省|30.6560|117.4892|池州市|lookup
3418|宣城|安徽省|30.9457|118.7580|宣城市|lookup
3501|福州|福建省|26.0753|119.3062|福州市|lookup
3502|厦门|福建省|24.4905|118.1102|厦门市|lookup
3503|莆田|福建省|25.4310|119.0076|莆田市|lookup
3504|三明|福建省|26.2654|117.6350|三明市|lookup
3505|泉州|福建省|24.8745|118.6757|泉州市|lookup
3506|漳州|福建省|24.5109|117.6618|漳州市|lookup
3507|南平|福建省|27.3828|118.0813|南平市|lookup
3508|龙岩|福建省|25.0916|117.0298|龙岩市|lookup
3509|宁德|福建省|26.6592|119.5271|宁德市|lookup
3601|南昌|江西省|28.6765|115.8922|南昌市|lookup
3602|景德镇|江西省|29.2926|117.2147|景德镇市|lookup
3603|萍乡|江西省|27.6587|113.8872|萍乡市|lookup
3604|九江|江西省|29.6612|115.9536|九江市|lookup
